club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Fiorentina,Rui Costa,22.0,Attacking Midfield,Benfica,5.50m,in,Summer,"5,5",Serie A,1994,1994/1995
Fiorentina,Emiliano Betti,22.0,Goalkeeper,Italy,?,in,Summer,0.01,Serie A,1994,1994/1995
Fiorentina,Stefano Carobbi,30.0,Right-Back,Italy,?,in,Summer,0.01,Serie A,1994,1994/1995
Fiorentina,Sandro Cois,21.0,Defensive Midfield,Torino,?,in,Summer,0.01,Serie A,1994,1994/1995
Fiorentina,Márcio Santos,24.0,Centre-Back,G. Bordeaux,?,in,Summer,0.01,Serie A,1994,1994/1995
Fiorentina,Andrea Sottil,20.0,Centre-Back,Torino,?,in,Summer,0.01,Serie A,1994,1994/1995
Fiorentina,Angelo Carbone,26.0,Right Midfield,Milan,loan transfer,in,Summer,0.01,Serie A,1994,1994/1995
Fiorentina,Enzo Gambaro,28.0,Left-Back,Milan,loan transfer,in,Summer,0.01,Serie A,1994,1994/1995
SSC Napoli,André Cruz,25.0,Centre-Back,free agents,free transfer,in,Summer,0,Serie A,1994,1994/1995
SSC Napoli,Massimo Agostini,30.0,Centre-Forward,Italy,?,in,Summer,0.01,Serie A,1994,1994/1995
SSC Napoli,Gaetano De Rosa,21.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,1994,1994/1995
SSC Napoli,Roberto Vezzosi,20.0,Right-Back,Italy,?,in,Summer,0.01,Serie A,1994,1994/1995
SSC Napoli,Luca Luzardi,24.0,Centre-Back,Lazio,?,in,Summer,0.01,Serie A,1994,1994/1995
SSC Napoli,Gabriele Grossi,22.0,Left-Back,Bari,?,in,Summer,0.01,Serie A,1994,1994/1995
SSC Napoli,Salvatore Matrecano,23.0,Centre-Back,AC Parma,?,in,Summer,0.01,Serie A,1994,1994/1995
SSC Napoli,Luca Altomare,22.0,Central Midfield,Italy,?,in,Summer,0.01,Serie A,1994,1994/1995
SSC Napoli,Alain Boghossian,23.0,Central Midfield,France,?,in,Summer,0.01,Serie A,1994,1994/1995
SSC Napoli,Franco Lerda,26.0,Centre-Forward,Brescia,?,in,Summer,0.01,Serie A,1994,1994/1995
SSC Napoli,Freddy Rincón,27.0,Central Midfield,South America,?,in,Summer,0.01,Serie A,1994,1994/1995
SSC Napoli,Benny Carbone,22.0,Second Striker,Torino,?,in,Summer,0.01,Serie A,1994,1994/1995
Reggiana,Paulo Futre,28.0,Left Winger,France,1.00m,in,Summer,1,Serie A,1994,1994/1995
Reggiana,Monye Precious Onyabor,19.0,midfield,Africa Sports,?,in,Summer,0.01,Serie A,1994,1994/1995
Reggiana,Nunzio Falco,20.0,attack,Italy,?,in,Summer,0.01,Serie A,1994,1994/1995
Reggiana,Adriano Alex Taribello,17.0,attack,Italy,?,in,Summer,0.01,Serie A,1994,1994/1995
Reggiana,Giorgio Bresciani,25.0,Centre-Forward,Italy,?,in,Summer,0.01,Serie A,1994,1994/1995
Reggiana,Sunday Oliseh,19.0,Defensive Midfield,RC Liège,?,in,Summer,0.01,Serie A,1994,1994/1995
Reggiana,Angelo Gregucci,30.0,Centre-Back,Torino,?,in,Summer,0.01,Serie A,1994,1994/1995
Reggiana,Fernando De Napoli,30.0,Central Midfield,Milan,?,in,Summer,0.01,Serie A,1994,1994/1995
Reggiana,Francesco Antonioli,24.0,Goalkeeper,Italy,?,in,Summer,0.01,Serie A,1994,1994/1995
Padova,David Balleri,25.0,Right-Back,AC Parma,?,in,Summer,0.01,Serie A,1994,1994/1995
Padova,Goran Vlaovic,21.0,Centre-Forward,Croatia Zagreb,?,in,Summer,0.01,Serie A,1994,1994/1995
Padova,Daniele Zoratto,32.0,Central Midfield,AC Parma,?,in,Summer,0.01,Serie A,1994,1994/1995
Padova,Carlo Perrone,33.0,Right Winger,Italy,?,in,Summer,0.01,Serie A,1994,1994/1995
Padova,Gianluca Zattarin,20.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,1994,1994/1995
Padova,Roberto Putelli,24.0,Left Winger,Italy,?,in,Summer,0.01,Serie A,1994,1994/1995
Cremonese,Mauro Milanese,22.0,Left-Back,Italy,400Th.,in,Summer,"0,4",Serie A,1994,1994/1995
Cremonese,Enrico Chiesa,23.0,Centre-Forward,Italy,100Th.,in,Summer,"0,1",Serie A,1994,1994/1995
Cremonese,Marco Bruzzano,26.0,attack,Giarre,?,in,Summer,0.01,Serie A,1994,1994/1995
Cremonese,Riccardo Maspero,23.0,Attacking Midfield,Sampdoria,?,in,Summer,0.01,Serie A,1994,1994/1995
Cremonese,Jose Pirri,21.0,midfield,Centese,?,in,Summer,0.01,Serie A,1994,1994/1995
Cremonese,Claudio Sclosa,33.0,midfield,Lazio,?,in,Summer,0.01,Serie A,1994,1994/1995
Cremonese,Luigi Garzya,24.0,Centre-Back,AS Rom Youth,?,in,Summer,0.01,Serie A,1994,1994/1995
Cremonese,Giovanni Dall'Igna,21.0,Right-Back,Sampdoria,?,in,Summer,0.01,Serie A,1994,1994/1995
Cagliari Calcio,Roberto Muzzi,23.0,Centre-Forward,free agents,free transfer,in,Summer,0,Serie A,1994,1994/1995
Cagliari Calcio,Christian Lantignotti,24.0,Attacking Midfield,Reggiana,?,in,Summer,0.01,Serie A,1994,1994/1995
Cagliari Calcio,Antonio Bitetti,19.0,Attacking Midfield,Italy,?,in,Summer,0.01,Serie A,1994,1994/1995
Cagliari Calcio,Andrea Benassi,18.0,Right-Back,Italy,?,in,Summer,0.01,Serie A,1994,1994/1995
Cagliari Calcio,Luigi Molino,22.0,attack,Italy,?,in,Summer,0.01,Serie A,1994,1994/1995
Cagliari Calcio,Daniele Berretta,22.0,Defensive Midfield,AS Roma,loan transfer,in,Summer,0.01,Serie A,1994,1994/1995
Sampdoria,Sinia Mihajlovic,25.0,Centre-Back,AS Roma,6.00m,in,Summer,6,Serie A,1994,1994/1995
