club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
AS Roma,Gabriel Batistuta,31.0,Centre-Forward,Fiorentina,36.15m,in,Summer,"36,15",Serie A,2000,2000/2001
AS Roma,Wálter Samuel,22.0,Centre-Back,South America,20.80m,in,Summer,"20,8",Serie A,2000,2000/2001
AS Roma,Jonathan Zebina,21.0,Centre-Back,Italy,18.40m,in,Summer,"18,4",Serie A,2000,2000/2001
AS Roma,Émerson,24.0,Defensive Midfield,Bay. Leverkusen,18.00m,in,Summer,18,Serie A,2000,2000/2001
AS Roma,Franco Brienza,21.0,Attacking Midfield,Italy,52Th.,in,Summer,"0,052",Serie A,2000,2000/2001
AS Roma,Giuseppe Di Masi,18.0,Goalkeeper,Italy,?,in,Summer,0.01,Serie A,2000,2000/2001
AS Roma,Abel Balbo,34.0,Centre-Forward,Fiorentina,?,in,Summer,0.01,Serie A,2000,2000/2001
Bologna,Julio Cruz,25.0,Centre-Forward,Feyenoord,8.20m,in,Summer,"8,2",Serie A,2000,2000/2001
Bologna,Luis Oliveira,31.0,Centre-Forward,Italy,300Th.,in,Summer,"0,3",Serie A,2000,2000/2001
Bologna,Enzo Maresca,20.0,Central Midfield,Juventus,Loan fee:140Th.,in,Summer,"0,14",Serie A,2000,2000/2001
Bologna,Björn Runström,16.0,Centre-Forward,free agents,free transfer,in,Summer,0,Serie A,2000,2000/2001
Bologna,Claudio Bellucci,25.0,Centre-Forward,free agents,free transfer,in,Summer,0,Serie A,2000,2000/2001
Bologna,Francisco Lima,29.0,Defensive Midfield,free agents,free transfer,in,Summer,0,Serie A,2000,2000/2001
Bologna,Pasquale Padalino,27.0,Centre-Back,Fiorentina,?,in,Summer,0.01,Serie A,2000,2000/2001
Bologna,Francesco Quintavalla,18.0,Right-Back,Italy,?,in,Summer,0.01,Serie A,2000,2000/2001
Bologna,Marcello Castellini,27.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,2000,2000/2001
Bologna,Federico Gmeiner,18.0,defence,Italy,?,in,Summer,0.01,Serie A,2000,2000/2001
Bologna,Emanuele Brioschi,25.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,2000,2000/2001
Bologna,Tomas Locatelli,24.0,Attacking Midfield,Italy,?,in,Summer,0.01,Serie A,2000,2000/2001
Bologna,Renato Olive,29.0,Central Midfield,Perugia,?,in,Summer,0.01,Serie A,2000,2000/2001
Bologna,Niccolò Galli,,defence,Uk,loan transfer,in,Summer,0.01,Serie A,2000,2000/2001
Bologna,Ferdinando Coppola,22.0,Goalkeeper,Italy,loan transfer,in,Summer,0.01,Serie A,2000,2000/2001
Lecce,Davor Vugrinec,25.0,Centre-Forward,Turkey,171Th.,in,Summer,"0,171",Serie A,2000,2000/2001
Lecce,Krasimir Chomakov,23.0,Defensive Midfield,free agents,free transfer,in,Summer,0,Serie A,2000,2000/2001
Lecce,Stéphane Coqu,18.0,Goalkeeper,free agents,free transfer,in,Summer,0,Serie A,2000,2000/2001
Lecce,Aldo Osorio,26.0,Centre-Forward,free agents,free transfer,in,Summer,0,Serie A,2000,2000/2001
Lecce,Mirko Vucinic,16.0,Centre-Forward,free agents,free transfer,in,Summer,0,Serie A,2000,2000/2001
Lecce,Giampiero Cazzella,24.0,attack,Italy,?,in,Summer,0.01,Serie A,2000,2000/2001
Lecce,Davide Olivares,28.0,midfield,Bari,?,in,Summer,0.01,Serie A,2000,2000/2001
Lecce,Dario Dainelli,21.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,2000,2000/2001
