club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Atalanta BC,Papu Gómez,26.0,Attacking Midfield,Est_EU,4.47m,in,Summer,"4,47",Serie A,2014,2014/2015
Atalanta BC,Richmond Boakye,21.0,Centre-Forward,Juventus,2.70m,in,Summer,"2,7",Serie A,2014,2014/2015
Atalanta BC,Marco D'Alessandro,23.0,Right Winger,AS Roma,2.50m,in,Summer,"2,5",Serie A,2014,2014/2015
Atalanta BC,Yohan Benalouane,27.0,Centre-Back,Parma,1.00m,in,Summer,1,Serie A,2014,2014/2015
Atalanta BC,Nicolò Cherubin,27.0,Centre-Back,Italy,Loan fee:300Th.,in,Summer,"0,3",Serie A,2014,2014/2015
Atalanta BC,Lorenzo Rosseti,20.0,Centre-Forward,Juventus,Loan fee:120Th.,in,Summer,"0,12",Serie A,2014,2014/2015
Atalanta BC,Nana Welbeck,19.0,Central Midfield,free agents,free transfer,in,Summer,0,Serie A,2014,2014/2015
Atalanta BC,Giuseppe Biava,37.0,Centre-Back,free agents,free transfer,in,Summer,0,Serie A,2014,2014/2015
Atalanta BC,Boukary Dramé,28.0,Left-Back,free agents,free transfer,in,Summer,0,Serie A,2014,2014/2015
Atalanta BC,Vlada Avramov,35.0,Goalkeeper,Torino,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Atalanta BC,Davide Zappacosta,22.0,Right-Back,Italy,?,in,Summer,0.01,Serie A,2014,2014/2015
Atalanta BC,Leonardo Spinazzola,21.0,Left-Back,Juventus,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Atalanta BC,Rolando Bianchi,31.0,Centre-Forward,Italy,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Cagliari Calcio,Alessandro Capello,18.0,Centre-Forward,Italy,4.00m,in,Summer,4,Serie A,2014,2014/2015
Cagliari Calcio,Caio Rangel,18.0,Right Winger,South America,2.65m,in,Summer,"2,65",Serie A,2014,2014/2015
Cagliari Calcio,Godfred Donsah,18.0,Central Midfield,Hellas Verona,2.50m,in,Summer,"2,5",Serie A,2014,2014/2015
Cagliari Calcio,Luca Ceppitelli,24.0,Centre-Back,Parma,2.10m,in,Summer,"2,1",Serie A,2014,2014/2015
Cagliari Calcio,Alessio Cragno,20.0,Goalkeeper,Italy,1.60m,in,Summer,"1,6",Serie A,2014,2014/2015
Cagliari Calcio,Simone Colombi,23.0,Goalkeeper,Atalanta BC,1.50m,in,Summer,"1,5",Serie A,2014,2014/2015
Cagliari Calcio,João Pedro,22.0,Second Striker,Estoril Praia,1.30m,in,Summer,"1,3",Serie A,2014,2014/2015
Cagliari Calcio,Simone Benedetti,22.0,Centre-Back,Inter,1.00m,in,Summer,1,Serie A,2014,2014/2015
Cagliari Calcio,Lorenzo Crisetig,21.0,Defensive Midfield,Inter,Loan fee:400Th.,in,Summer,"0,4",Serie A,2014,2014/2015
Cagliari Calcio,Diego Farias,24.0,Left Winger,Chievo Verona,Loan fee:300Th.,in,Summer,"0,3",Serie A,2014,2014/2015
Cagliari Calcio,Antonio Balzano,28.0,Right-Back,free agents,free transfer,in,Summer,0,Serie A,2014,2014/2015
Cagliari Calcio,Stefan Popescu,21.0,Left-Back,free agents,free transfer,in,Summer,0,Serie A,2014,2014/2015
Cagliari Calcio,Marco Capuano,22.0,Centre-Back,Italy,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Cagliari Calcio,Samuele Longo,22.0,Centre-Forward,Inter,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Cesena,Emmanuel Cascione,30.0,Central Midfield,Parma,2.50m,in,Summer,"2,5",Serie A,2014,2014/2015
Cesena,Federico Agliardi,31.0,Goalkeeper,Italy,2.00m,in,Summer,2,Serie A,2014,2014/2015
Cesena,Felice Di Cecco,20.0,Defensive Midfield,Italy,1.60m,in,Summer,"1,6",Serie A,2014,2014/2015
Cesena,Mohamed Traoré,22.0,Right-Back,Parma,1.50m,in,Summer,"1,5",Serie A,2014,2014/2015
Cesena,Carlo Crialese,21.0,Left-Back,Parma,1.00m,in,Summer,1,Serie A,2014,2014/2015
Cesena,Luka Krajnc,19.0,Centre-Back,Genoa,450Th.,in,Summer,"0,45",Serie A,2014,2014/2015
Cesena,Zé Eduardo,22.0,Defensive Midfield,Parma,300Th.,in,Summer,"0,3",Serie A,2014,2014/2015
Cesena,Antonio Mazzotta,25.0,Left-Back,Italy,200Th.,in,Summer,"0,2",Serie A,2014,2014/2015
Cesena,Franco Brienza,35.0,Attacking Midfield,Atalanta BC,100Th.,in,Summer,"0,1",Serie A,2014,2014/2015
Cesena,Stefano Lucchini,33.0,Centre-Back,Atalanta BC,100Th.,in,Summer,"0,1",Serie A,2014,2014/2015
Cesena,Gabriele Perico,30.0,Right-Back,Cagliari Calcio,100Th.,in,Summer,"0,1",Serie A,2014,2014/2015
Cesena,Walter Bressan,33.0,Goalkeeper,free agents,free transfer,in,Summer,0,Serie A,2014,2014/2015
Cesena,Manuel Coppola,32.0,Central Midfield,free agents,free transfer,in,Summer,0,Serie A,2014,2014/2015
Cesena,Constantin Nica,21.0,defence,Atalanta BC,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Cesena,Davide Adorni,21.0,Centre-Back,Parma,?,in,Summer,0.01,Serie A,2014,2014/2015
Cesena,Fabio Reato,21.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,2014,2014/2015
Cesena,Carlos Carbonero,24.0,Attacking Midfield,South America,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Cesena,Nico Pulzetti,30.0,Central Midfield,Italy,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Cesena,Hördur Magnússon,21.0,Centre-Back,Juventus,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Cesena,Riccardo Cazzola,28.0,Defensive Midfield,Atalanta BC,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Cesena,Luigi Giorgi,27.0,Central Midfield,Atalanta BC,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Cesena,Massimo Volta,27.0,Centre-Back,Sampdoria,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Cesena,Nicola Leali,21.0,Goalkeeper,Juventus,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Empoli,Mário Rui,23.0,Left-Back,free agents,free transfer,in,Summer,0,Serie A,2014,2014/2015
Empoli,Mateus Dos Santos,24.0,Centre-Forward,free agents,free transfer,in,Summer,0,Serie A,2014,2014/2015
Empoli,Sebastián Sosa Sánchez,20.0,Centre-Forward,free agents,free transfer,in,Summer,0,Serie A,2014,2014/2015
Empoli,Massimo Maccarone,34.0,Centre-Forward,free agents,free transfer,in,Summer,0,Serie A,2014,2014/2015
Empoli,Emanuele Rovini,19.0,Centre-Forward,Udinese Calcio,?,in,Summer,0.01,Serie A,2014,2014/2015
Empoli,Lorenzo Tempesti,20.0,Second Striker,Gavorrano,?,in,Summer,0.01,Serie A,2014,2014/2015
Empoli,Tiberio Guarente,28.0,Central Midfield,Sevilla FC,?,in,Summer,0.01,Serie A,2014,2014/2015
Empoli,Rodrigo Aguirre,19.0,Centre-Forward,Udinese Calcio,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Empoli,Romano Perticone,28.0,Centre-Back,Italy,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Empoli,Piotr Zielinski,20.0,Attacking Midfield,Udinese Calcio,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Empoli,Diego Laxalt,21.0,Left-Back,Inter,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Empoli,Matías Vecino,22.0,Central Midfield,Fiorentina,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Empoli,Matteo Bianchetti,21.0,Centre-Back,Hellas Verona,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Empoli,Simone Verdi,22.0,Attacking Midfield,Torino,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Empoli,Luigi Sepe,23.0,Goalkeeper,SSC Napoli,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Chievo Verona,Mariano Izco,31.0,Central Midfield,Italy,3.00m,in,Summer,3,Serie A,2014,2014/2015
Chievo Verona,Maxi López,30.0,Centre-Forward,Italy,1.50m,in,Summer,"1,5",Serie A,2014,2014/2015
Chievo Verona,Rubén Botta,24.0,Attacking Midfield,Inter,Loan fee:1.00m,in,Summer,1,Serie A,2014,2014/2015
Chievo Verona,Nicola Bellomo,23.0,Attacking Midfield,Torino,800Th.,in,Summer,"0,8",Serie A,2014,2014/2015
Chievo Verona,Mario Gargiulo,18.0,Central Midfield,Italy,600Th.,in,Summer,"0,6",Serie A,2014,2014/2015
Chievo Verona,Raffaele Pucino,23.0,Right-Back,Sassuolo,300Th.,in,Summer,"0,3",Serie A,2014,2014/2015
Chievo Verona,Alessandro Gamberini,32.0,Centre-Back,SSC Napoli,300Th.,in,Summer,"0,3",Serie A,2014,2014/2015
Chievo Verona,Cristiano Biraghi,21.0,Left-Back,Inter,Loan fee:250Th.,in,Summer,"0,25",Serie A,2014,2014/2015
Chievo Verona,Albano Bizzarri,36.0,Goalkeeper,Genoa,100Th.,in,Summer,"0,1",Serie A,2014,2014/2015
Chievo Verona,Marcão,22.0,Goalkeeper,free agents,free transfer,in,Summer,0,Serie A,2014,2014/2015
Chievo Verona,Emanuele Gatto,20.0,Defensive Midfield,free agents,free transfer,in,Summer,0,Serie A,2014,2014/2015
Chievo Verona,Thomas Mangani,27.0,Central Midfield,free agents,free transfer,in,Summer,0,Serie A,2014,2014/2015
Chievo Verona,Riccardo Meggiorini,28.0,Centre-Forward,free agents,free transfer,in,Summer,0,Serie A,2014,2014/2015
Chievo Verona,Edimar,28.0,Left-Back,free agents,free transfer,in,Summer,0,Serie A,2014,2014/2015
Chievo Verona,Valerio Anastasi,24.0,Centre-Forward,Italy,?,in,Summer,0.01,Serie A,2014,2014/2015
Chievo Verona,Yves Baraye,22.0,Right Winger,Italy,?,in,Summer,0.01,Serie A,2014,2014/2015
Chievo Verona,Salvatore Gallo,21.0,Central Midfield,Italy,?,in,Summer,0.01,Serie A,2014,2014/2015
Chievo Verona,Francesco Sabatucci,23.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,2014,2014/2015
Chievo Verona,Ezequiel Schelotto,25.0,Right-Back,Inter,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Chievo Verona,Isaac Cofie,22.0,Defensive Midfield,Genoa,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Chievo Verona,Ervin Zukanovic,27.0,Centre-Back,Belgium,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Chievo Verona,Francesco Bardi,22.0,Goalkeeper,Inter,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Chievo Verona,Valter Birsa,27.0,Attacking Midfield,AC Milan,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Fiorentina,Milan Badelj,25.0,Defensive Midfield,Hamburger SV,4.00m,in,Summer,4,Serie A,2014,2014/2015
Fiorentina,José María Basanta,30.0,Centre-Back,North America,2.60m,in,Summer,"2,6",Serie A,2014,2014/2015
Fiorentina,Joshua Brillante,21.0,Central Midfield,Newcastle,1.00m,in,Summer,1,Serie A,2014,2014/2015
Fiorentina,Micah Richards,26.0,Right-Back,Man City,Loan fee:1.00m,in,Summer,1,Serie A,2014,2014/2015
Fiorentina,Jasmin Kurtic,25.0,Central Midfield,Sassuolo,Loan fee:500Th.,in,Summer,"0,5",Serie A,2014,2014/2015
Fiorentina,Ciprian Tatarusanu,28.0,Goalkeeper,free agents,free transfer,in,Summer,0,Serie A,2014,2014/2015
Fiorentina,Michele Fossati,20.0,Central Midfield,Gavorrano,?,in,Summer,0.01,Serie A,2014,2014/2015
Fiorentina,Steve Beleck,21.0,Centre-Forward,Udinese Calcio,?,in,Summer,0.01,Serie A,2014,2014/2015
Fiorentina,Octávio,20.0,Attacking Midfield,South America,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Fiorentina,Marko Marin,25.0,Attacking Midfield,Chelsea,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Genoa,Mauricio Pinilla,30.0,Centre-Forward,Cagliari Calcio,2.00m,in,Summer,2,Serie A,2014,2014/2015
Genoa,Iago Falque,24.0,Right Winger,Spurs,2.00m,in,Summer,2,Serie A,2014,2014/2015
Genoa,Aleandro Rosi,27.0,Right-Back,Parma,1.00m,in,Summer,1,Serie A,2014,2014/2015
Genoa,Armando Izzo,22.0,Centre-Back,Italy,400Th.,in,Summer,"0,4",Serie A,2014,2014/2015
Genoa,Diego Perotti,25.0,Left Winger,Sevilla FC,350Th.,in,Summer,"0,35",Serie A,2014,2014/2015
Genoa,Eugenio Lamanna,24.0,Goalkeeper,free agents,free transfer,in,Summer,0,Serie A,2014,2014/2015
Genoa,Tomás Rincón,26.0,Defensive Midfield,free agents,free transfer,in,Summer,0,Serie A,2014,2014/2015
Genoa,Leandro Greco,27.0,Central Midfield,free agents,free transfer,in,Summer,0,Serie A,2014,2014/2015
Genoa,Stefano Sturaro,21.0,Central Midfield,Juventus,loan transfer,in,Summer,0.01,Serie A,2014,2014/2015
Genoa,Riccardo Improta,20.0,Left Winger,Chievo Verona,?,in,Summer,0.01,Serie A,2014,2014/2015
Genoa,Panagiotis Tachtsidis,23.0,Defensive Midfield,Italy,?,in,Summer,0.01,Serie A,2014,2014/2015
Genoa,Antonino Ragusa,24.0,Left Winger,Italy,?,in,Summer,0.01,Serie A,2014,2014/2015
