club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Fiorentina,Brian Laudrup,23.0,Right Winger,Bayern Munich,5.00m,in,Summer,5,Serie A,1992,1992/1993
Fiorentina,Stefan Effenberg,23.0,Central Midfield,Bayern Munich,3.75m,in,Summer,"3,75",Serie A,1992,1992/1993
Fiorentina,Daniele Carnasciali,25.0,Right-Back,Brescia,?,in,Summer,0.01,Serie A,1992,1992/1993
Fiorentina,Diego Latorre,22.0,Second Striker,South America,?,in,Summer,0.01,Serie A,1992,1992/1993
Fiorentina,Andrea Vascotto,20.0,midfield,Barletta CS,?,in,Summer,0.01,Serie A,1992,1992/1993
Fiorentina,Fabrizio Di Mauro,27.0,Defensive Midfield,AS Roma,?,in,Summer,0.01,Serie A,1992,1992/1993
Fiorentina,Gianluca Luppi,25.0,Centre-Back,Juventus,?,in,Summer,0.01,Serie A,1992,1992/1993
Fiorentina,Francesco Baiano,24.0,Right Winger,Foggia,?,in,Summer,0.01,Serie A,1992,1992/1993
SSC Napoli,Paolo Ziliani,21.0,Sweeper,Brescia,?,in,Summer,0.01,Serie A,1992,1992/1993
SSC Napoli,Roberto Policano,28.0,Left-Back,Torino,?,in,Summer,0.01,Serie A,1992,1992/1993
SSC Napoli,Carlo Cornacchia,27.0,Right-Back,Atalanta,?,in,Summer,0.01,Serie A,1992,1992/1993
SSC Napoli,Giorgio Bresciani,23.0,Centre-Forward,Cagliari Calcio,?,in,Summer,0.01,Serie A,1992,1992/1993
SSC Napoli,Luca Altomare,20.0,Central Midfield,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
SSC Napoli,Fausto Pari,29.0,Defensive Midfield,Sampdoria,?,in,Summer,0.01,Serie A,1992,1992/1993
SSC Napoli,Daniel Fonseca,22.0,Centre-Forward,Cagliari Calcio,?,in,Summer,0.01,Serie A,1992,1992/1993
SSC Napoli,Jonas Thern,25.0,Central Midfield,Benfica,?,in,Summer,0.01,Serie A,1992,1992/1993
SSC Napoli,Angelo Carbone,24.0,Right Midfield,Milan,loan transfer,in,Summer,0.01,Serie A,1992,1992/1993
Pescara,Ottavio Palladini,20.0,Central Midfield,free agents,free transfer,in,Summer,0,Serie A,1992,1992/1993
Pescara,Roberto Gnoli,21.0,Goalkeeper,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Pescara,Vincenzo Aureli,19.0,attack,Fucense,?,in,Summer,0.01,Serie A,1992,1992/1993
Pescara,Vittorio Pinciarelli,20.0,midfield,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Pescara,Giuseppe Compagno,24.0,Right Winger,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Pescara,Blaz Sliskovic,33.0,Central Midfield,Stade Rennais,?,in,Summer,0.01,Serie A,1992,1992/1993
Pescara,Mauro Zironelli,22.0,midfield,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Pescara,Stefano Borgonovo,28.0,Centre-Forward,Fiorentina,?,in,Summer,0.01,Serie A,1992,1992/1993
Pescara,Roger Mendy,32.0,Sweeper,Monaco,?,in,Summer,0.01,Serie A,1992,1992/1993
Pescara,John Sivebaek,30.0,Right-Back,Monaco,?,in,Summer,0.01,Serie A,1992,1992/1993
Pescara,Dunga,28.0,Defensive Midfield,Fiorentina,?,in,Summer,0.01,Serie A,1992,1992/1993
Cagliari Calcio,Luis Oliveira,23.0,Centre-Forward,Belgium,3.00m,in,Summer,3,Serie A,1992,1992/1993
Cagliari Calcio,Giuseppe Pancaro,20.0,Right-Back,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Cagliari Calcio,Guido Nanni,24.0,Goalkeeper,Ischia,?,in,Summer,0.01,Serie A,1992,1992/1993
Cagliari Calcio,Marco Sanna,22.0,Central Midfield,Tempio,?,in,Summer,0.01,Serie A,1992,1992/1993
Cagliari Calcio,Giorgio Bresciani,23.0,Centre-Forward,Torino,?,in,Summer,0.01,Serie A,1992,1992/1993
Cagliari Calcio,Vittorio Pusceddu,28.0,Left-Back,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Cagliari Calcio,Francesco Moriero,23.0,Right Winger,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Cagliari Calcio,Marcelo Tejera,18.0,Central Midfield,South America,?,in,Summer,0.01,Serie A,1992,1992/1993
Ancona,Sergio Zárate,23.0,Centre-Forward,1.FC Nuremberg,Loan fee:350Th.,in,Summer,"0,35",Serie A,1992,1992/1993
Ancona,Nicola Caccia,22.0,Centre-Forward,free agents,free transfer,in,Summer,0,Serie A,1992,1992/1993
Ancona,Lajos Détári,29.0,Attacking Midfield,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Ancona,Massimo Agostini,28.0,Centre-Forward,AC Parma,?,in,Summer,0.01,Serie A,1992,1992/1993
Ancona,Felice Centofanti,23.0,Left-Back,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Ancona,Oscar Ruggeri,30.0,Centre-Back,South America,?,in,Summer,0.01,Serie A,1992,1992/1993
Ancona,Paolo Cangini,24.0,midfield,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Ancona,Luca Bertarelli,18.0,attack,Riccione Vacanze,?,in,Summer,0.01,Serie A,1992,1992/1993
Sampdoria,Des Walker,26.0,Centre-Back,Nottm Forest,1.70m,in,Summer,"1,7",Serie A,1992,1992/1993
Sampdoria,Enrico Chiesa,21.0,Centre-Forward,free agents,free transfer,in,Summer,0,Serie A,1992,1992/1993
Sampdoria,Michele Serena,22.0,Left-Back,Verona,?,in,Summer,0.01,Serie A,1992,1992/1993
Sampdoria,Mauro Bertarelli,21.0,attack,Ancona,?,in,Summer,0.01,Serie A,1992,1992/1993
Sampdoria,Stefano Sacchetti,19.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Sampdoria,Vladimir Jugovic,22.0,Left Midfield,Central_EU,?,in,Summer,0.01,Serie A,1992,1992/1993
Sampdoria,Nicola Zanini,18.0,Attacking Midfield,Juventus,?,in,Summer,0.01,Serie A,1992,1992/1993
Sampdoria,Eugenio Corini,21.0,Defensive Midfield,Juventus,?,in,Summer,0.01,Serie A,1992,1992/1993
Atalanta BC,Leonardo Rodríguez,25.0,Attacking Midfield,Marseille,4.80m,in,Summer,"4,8",Serie A,1992,1992/1993
Atalanta BC,Maurizio Ganz,23.0,Centre-Forward,Brescia,120Th.,in,Summer,"0,12",Serie A,1992,1992/1993
Atalanta BC,Claudio Mascheretti,22.0,defence,Palazzolo,?,in,Summer,0.01,Serie A,1992,1992/1993
Atalanta BC,Oscar Magoni,24.0,Defensive Midfield,SC Leffe,?,in,Summer,0.01,Serie A,1992,1992/1993
Atalanta BC,Maurizio Codispoti,28.0,defence,Foggia,?,in,Summer,0.01,Serie A,1992,1992/1993
Atalanta BC,Roberto Rambaudi,26.0,Right Winger,Foggia,?,in,Summer,0.01,Serie A,1992,1992/1993
Atalanta BC,Marco Ambrosio,19.0,Goalkeeper,Lumezzane U19,?,in,Summer,0.01,Serie A,1992,1992/1993
Atalanta BC,Stefano De Agostini,27.0,Defensive Midfield,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Atalanta BC,Davide Pinato,28.0,Goalkeeper,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Atalanta BC,Alemão,30.0,Defensive Midfield,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Atalanta BC,Iván Valenciano,20.0,Centre-Forward,South America,?,in,Summer,0.01,Serie A,1992,1992/1993
Atalanta BC,Paolo Montero,20.0,Centre-Back,South America,?,in,Summer,0.01,Serie A,1992,1992/1993
Atalanta BC,Massimiliano Cappellini,21.0,Centre-Forward,Milan,loan transfer,in,Summer,0.01,Serie A,1992,1992/1993
Foggia,Luigi Di Biagio,21.0,Defensive Midfield,free agents,free transfer,in,Summer,0,Serie A,1992,1992/1993
Foggia,Gianluca Grassadonia,20.0,Centre-Back,free agents,free transfer,in,Summer,0,Serie A,1992,1992/1993
Foggia,Paolo Mandelli,24.0,Left Winger,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Foggia,Giuseppe Fornaciari,24.0,Centre-Back,Barletta CS,?,in,Summer,0.01,Serie A,1992,1992/1993
Foggia,Giuseppe Di Bari,22.0,Centre-Back,Bisceglie,?,in,Summer,0.01,Serie A,1992,1992/1993
Foggia,Nicoló Sciacca,23.0,Central Midfield,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Foggia,Donatello Gasparini,20.0,defence,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Foggia,Pier Luigi Nicoli,26.0,Right-Back,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Foggia,Giovanni Pisano,23.0,Centre-Forward,Leonzio,?,in,Summer,0.01,Serie A,1992,1992/1993
Foggia,Giordano Caini,23.0,Left-Back,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Foggia,David Bianchini,20.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Foggia,Mauro Bacchin,22.0,Goalkeeper,Barletta CS,?,in,Summer,0.01,Serie A,1992,1992/1993
Foggia,Pasquale De Vincenzo,24.0,Central Midfield,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Foggia,Oberdan Biagioni,22.0,Attacking Midfield,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Foggia,Andrea Seno,26.0,Central Midfield,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Foggia,Pierpaolo Bresciani,21.0,Right Winger,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Foggia,Hernán Medford,24.0,Centre-Forward,Rayo Vallecano,?,in,Summer,0.01,Serie A,1992,1992/1993
Juventus,Gianluca Vialli,27.0,Centre-Forward,Sampdoria,16.50m,in,Summer,"16,5",Serie A,1992,1992/1993
Juventus,David Platt,26.0,Attacking Midfield,Italy,9.75m,in,Summer,"9,75",Serie A,1992,1992/1993
Juventus,Fabrizio Ravanelli,23.0,Centre-Forward,Italy,1.50m,in,Summer,"1,5",Serie A,1992,1992/1993
Juventus,Andreas Möller,24.0,Attacking Midfield,free agents,free transfer,in,Summer,0,Serie A,1992,1992/1993
Juventus,Moreno Torricelli,22.0,Right-Back,Italy,25Th.,in,Summer,"0,025",Serie A,1992,1992/1993
Juventus,Daniel Terrera,18.0,defence,Sammargheritese,?,in,Summer,0.01,Serie A,1992,1992/1993
Milan,Jean-Pierre Papin,28.0,Centre-Forward,Marseille,12.00m,in,Summer,12,Serie A,1992,1992/1993
Milan,Gianluigi Lentini,23.0,Right Winger,Torino,9.55m,in,Summer,"9,55",Serie A,1992,1992/1993
Milan,Dejan Savicevic,25.0,Attacking Midfield,Central_EU,4.60m,in,Summer,"4,6",Serie A,1992,1992/1993
Milan,Stefano Eranio,25.0,Right Midfield,Genoa,?,in,Summer,0.01,Serie A,1992,1992/1993
Milan,Martino Traversa,18.0,Right-Back,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Milan,Fernando De Napoli,28.0,Central Midfield,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Milan,Davide Dionigi,18.0,Centre-Forward,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Milan,Guido Bistazzoni,32.0,Goalkeeper,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Torino,Maurizio Ferrarese,25.0,Left-Back,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Torino,Raffaele Sergio,25.0,Left-Back,Lazio,?,in,Summer,0.01,Serie A,1992,1992/1993
Torino,Antonio Aloisi,23.0,defence,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Torino,Marcelo Saralegui,21.0,Attacking Midfield,Portugal,?,in,Summer,0.01,Serie A,1992,1992/1993
Torino,Mohammed Gargo,17.0,Centre-Back,Africa Sports,?,in,Summer,0.01,Serie A,1992,1992/1993
Torino,Daniele Fortunato,29.0,Defensive Midfield,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Torino,Domenico Doardo,17.0,Goalkeeper,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Torino,Andrea Silenzi,26.0,Centre-Forward,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Torino,Carlos Aguilera,27.0,Centre-Forward,Genoa,?,in,Summer,0.01,Serie A,1992,1992/1993
Udinese Calcio,Marek Kozminski,21.0,Left-Back,free agents,free transfer,in,Summer,0,Serie A,1992,1992/1993
Udinese Calcio,Paolo Di Sarno,24.0,Goalkeeper,Lazio,?,in,Summer,0.01,Serie A,1992,1992/1993
Udinese Calcio,Alessandro Testaferrata,18.0,Goalkeeper,Bozzano,?,in,Summer,0.01,Serie A,1992,1992/1993
Udinese Calcio,Stefano Pellegrini,24.0,Right-Back,AS Roma,?,in,Summer,0.01,Serie A,1992,1992/1993
Udinese Calcio,Stefano Desideri,27.0,Right Midfield,Inter,?,in,Summer,0.01,Serie A,1992,1992/1993
Udinese Calcio,Jonathan Bachini,17.0,Left Midfield,Alessandria Youth,?,in,Summer,0.01,Serie A,1992,1992/1993
Udinese Calcio,Piotr Czachowski,25.0,Centre-Back,Central_EU,?,in,Summer,0.01,Serie A,1992,1992/1993
Udinese Calcio,Alessandro Orlando,22.0,Left-Back,Sampdoria,?,in,Summer,0.01,Serie A,1992,1992/1993
Udinese Calcio,Marco Branca,27.0,Centre-Forward,Fiorentina,?,in,Summer,0.01,Serie A,1992,1992/1993
Udinese Calcio,Massimo Mariotto,26.0,midfield,Italy,loan transfer,in,Summer,0.01,Serie A,1992,1992/1993
Lazio,Paul Gascoigne,25.0,Attacking Midfield,Spurs,7.40m,in,Summer,"7,4",Serie A,1992,1992/1993
Lazio,Giuseppe Favalli,20.0,Left-Back,Italy,2.58m,in,Summer,"2,58",Serie A,1992,1992/1993
Lazio,Diego Fuser,23.0,Right Midfield,Milan,2.00m,in,Summer,2,Serie A,1992,1992/1993
Lazio,Aron Winter,25.0,Defensive Midfield,Ajax,1.30m,in,Summer,"1,3",Serie A,1992,1992/1993
Lazio,Giacomo Galli,20.0,attack,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Lazio,Luca Luzardi,22.0,Centre-Back,Brescia,?,in,Summer,0.01,Serie A,1992,1992/1993
Lazio,Mauro Bonomi,19.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Lazio,Paolo Di Sarno,24.0,Goalkeeper,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Lazio,Dario Marcolin,20.0,Defensive Midfield,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Lazio,Giuseppe Signori,24.0,Centre-Forward,Foggia,?,in,Summer,0.01,Serie A,1992,1992/1993
Lazio,Roberto Cravero,28.0,Sweeper,Torino,nan,in,Summer,0.01,Serie A,1992,1992/1993
Genoa,Gianpaolo Spagnulo,27.0,Goalkeeper,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Genoa,Fabio Rossi,21.0,defence,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Genoa,Andrea Fortunato,20.0,Left-Back,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Genoa,Michele Padovano,25.0,Centre-Forward,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
Genoa,Stefano Tacconi,35.0,Goalkeeper,Juventus,?,in,Summer,0.01,Serie A,1992,1992/1993
Genoa,John van 't Schip,28.0,Right Winger,Ajax,?,in,Summer,0.01,Serie A,1992,1992/1993
AC Parma,Salvatore Matrecano,21.0,Centre-Back,Foggia,?,in,Summer,0.01,Serie A,1992,1992/1993
AC Parma,Marco Ferrante,21.0,Centre-Forward,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
AC Parma,Gianluca Hervatin,18.0,attack,Tempio,?,in,Summer,0.01,Serie A,1992,1992/1993
AC Parma,Antonio Sconziano,20.0,Right-Back,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
AC Parma,Gianluca Franchini,19.0,Defensive Midfield,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
AC Parma,Giovanni Sorce,22.0,attack,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
AC Parma,Marco Ferrari,25.0,Goalkeeper,Italy,?,in,Summer,0.01,Serie A,1992,1992/1993
AC Parma,Fausto Pizzi,24.0,Attacking Midfield,Inter,?,in,Summer,0.01,Serie A,1992,1992/1993
