club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Milan,Andriy Shevchenko,22.0,Centre-Forward,Est_EU,23.91m,in,Summer,"23,91",Serie A,1999,1999/2000
Milan,Serginho,28.0,Left Midfield,South America,8.90m,in,Summer,"8,9",Serie A,1999,1999/2000
Milan,Gennaro Gattuso,21.0,Central Midfield,Italy,8.00m,in,Summer,8,Serie A,1999,1999/2000
Milan,Mirco Sadotti,24.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,1999,1999/2000
Milan,Diego De Ascentis,22.0,Defensive Midfield,Bari,?,in,Summer,0.01,Serie A,1999,1999/2000
Milan,Valerio Fiori,30.0,Goalkeeper,Piacenza,?,in,Summer,0.01,Serie A,1999,1999/2000
Milan,Max Tonetto,24.0,Left-Back,Italy,?,in,Summer,0.01,Serie A,1999,1999/2000
Milan,Mattia Graffiedi,19.0,Centre-Forward,Italy,?,in,Summer,0.01,Serie A,1999,1999/2000
Cagliari Calcio,Daniele Conti,20.0,Defensive Midfield,AS Roma,650Th.,in,Summer,"0,65",Serie A,1999,1999/2000
Cagliari Calcio,François Modesto,20.0,Centre-Back,free agents,free transfer,in,Summer,0,Serie A,1999,1999/2000
Cagliari Calcio,Giovanni Sulcis,24.0,midfield,Italy,?,in,Summer,0.01,Serie A,1999,1999/2000
Cagliari Calcio,Jason Mayélé,23.0,attack,France,?,in,Summer,0.01,Serie A,1999,1999/2000
Cagliari Calcio,Nicola Diliso,24.0,Right-Back,Italy,?,in,Summer,0.01,Serie A,1999,1999/2000
Cagliari Calcio,Nicola Di Liso,24.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,1999,1999/2000
Cagliari Calcio,Luis Oliveira,30.0,Centre-Forward,Fiorentina,?,in,Summer,0.01,Serie A,1999,1999/2000
Cagliari Calcio,David Suazo,19.0,Centre-Forward,South America,?,in,Summer,0.01,Serie A,1999,1999/2000
Cagliari Calcio,Domenico Morfeo,23.0,Attacking Midfield,Fiorentina,loan transfer,in,Summer,0.01,Serie A,1999,1999/2000
Cagliari Calcio,Raffaele Ametrano,26.0,Right-Back,Juventus,loan transfer,in,Summer,0.01,Serie A,1999,1999/2000
