club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Piacenza,Enzo Maresca,22.0,Central Midfield,Juventus,Loan fee:3.00m,in,Summer,3,Serie A,2002,2002/2003
Piacenza,Marco Stella,21.0,midfield,Italy,700Th.,in,Summer,"0,7",Serie A,2002,2002/2003
Piacenza,Dario Marcolin,30.0,Defensive Midfield,Italy,?,in,Summer,0.01,Serie A,2002,2002/2003
Piacenza,Simone Paoletti,18.0,Goalkeeper,Cagliese,?,in,Summer,0.01,Serie A,2002,2002/2003
Piacenza,Johnnier Montaño,19.0,Attacking Midfield,AC Parma,?,in,Summer,0.01,Serie A,2002,2002/2003
Piacenza,Luigi Riccio,24.0,Central Midfield,Italy,?,in,Summer,0.01,Serie A,2002,2002/2003
Piacenza,Hugo Campagnaro,22.0,Centre-Back,South America,?,in,Summer,0.01,Serie A,2002,2002/2003
Piacenza,Amedeo Mangone,33.0,Centre-Back,Brescia,?,in,Summer,0.01,Serie A,2002,2002/2003
Piacenza,Ibrahim Babatunde,17.0,Centre-Forward,Italy,?,in,Summer,0.01,Serie A,2002,2002/2003
Piacenza,Sergey Gurenko,29.0,Right-Back,AC Parma,loan transfer,in,Summer,0.01,Serie A,2002,2002/2003
Piacenza,Mauro Óbolo,20.0,Centre-Forward,South America,loan transfer,in,Summer,0.01,Serie A,2002,2002/2003
Torino,Federico Magallanes,26.0,Centre-Forward,Italy,Loan fee:250Th.,in,Summer,"0,25",Serie A,2002,2002/2003
Torino,Luca Mezzano,24.0,Centre-Back,Inter,?,in,Summer,0.01,Serie A,2002,2002/2003
Torino,Alessandro Campo,18.0,Right Winger,Italy,?,in,Summer,0.01,Serie A,2002,2002/2003
Torino,Gennaro Scarlato,25.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,2002,2002/2003
Torino,Andrea Soncin,18.0,Centre-Back,Perugia,?,in,Summer,0.01,Serie A,2002,2002/2003
Torino,Alessandro Conticchio,28.0,Central Midfield,Italy,?,in,Summer,0.01,Serie A,2002,2002/2003
Torino,Vincenzo Sommese,26.0,Right Winger,Italy,?,in,Summer,0.01,Serie A,2002,2002/2003
Torino,Alberto Maria Fontana,27.0,Goalkeeper,Italy,?,in,Summer,0.01,Serie A,2002,2002/2003
Torino,Giammarco Frezza,26.0,Left Midfield,Italy,?,in,Summer,0.01,Serie A,2002,2002/2003
Juventus,Manuele Blasi,21.0,Central Midfield,Perugia,17.70m,in,Summer,"17,7",Serie A,2002,2002/2003
Juventus,Mauro Camoranesi,25.0,Right Midfield,Italy,8.50m,in,Summer,"8,5",Serie A,2002,2002/2003
