club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
AS Roma,Matteo Brighi,23.0,Central Midfield,Juventus,16.00m,in,Summer,16,Serie A,2004,2004/2005
AS Roma,Simone Perrotta,26.0,Attacking Midfield,Chievo Verona,7.20m,in,Summer,"7,2",Serie A,2004,2004/2005
AS Roma,Philippe Mexès,22.0,Centre-Back,AJ Auxerre,7.00m,in,Summer,7,Serie A,2004,2004/2005
AS Roma,Matteo Ferrari,24.0,Centre-Back,Parma,7.00m,in,Summer,7,Serie A,2004,2004/2005
AS Roma,Mido,21.0,Centre-Forward,Marseille,6.00m,in,Summer,6,Serie A,2004,2004/2005
AS Roma,Cesare Bovo,21.0,Centre-Back,Lecce,10Th.,in,Summer,"0,01",Serie A,2004,2004/2005
Sampdoria,Vitali Kutuzov,24.0,Centre-Forward,AC Milan,1.50m,in,Summer,"1,5",Serie A,2004,2004/2005
Sampdoria,Marcello Castellini,31.0,Centre-Back,Parma,1.20m,in,Summer,"1,2",Serie A,2004,2004/2005
Sampdoria,Cristian Zenoni,27.0,Right-Back,Juventus,1.00m,in,Summer,1,Serie A,2004,2004/2005
Sampdoria,Max Tonetto,29.0,Left-Back,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
Sampdoria,Simone Pavan,30.0,Centre-Back,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
Sampdoria,Vincenzo Iacopino,27.0,Attacking Midfield,Italy,?,in,Summer,0.01,Serie A,2004,2004/2005
Sampdoria,Daniele Padelli,18.0,Goalkeeper,Italy,?,in,Summer,0.01,Serie A,2004,2004/2005
Sampdoria,Fausto Rossini,26.0,Centre-Forward,Atalanta BC,?,in,Summer,0.01,Serie A,2004,2004/2005
Sampdoria,Marco Pisano,22.0,Left-Back,Brescia,?,in,Summer,0.01,Serie A,2004,2004/2005
Sampdoria,Biagio Pagano,21.0,Right Winger,Atalanta BC,loan transfer,in,Summer,0.01,Serie A,2004,2004/2005
Sampdoria,Marco Donadel,21.0,Defensive Midfield,AC Milan,loan transfer,in,Summer,0.01,Serie A,2004,2004/2005
Lecce,Aleksey Eremenko Jr.,21.0,Attacking Midfield,North_EU,250Th.,in,Summer,"0,25",Serie A,2004,2004/2005
Lecce,Samuele Dalla Bona,23.0,Central Midfield,AC Milan,loan transfer,in,Summer,0.01,Serie A,2004,2004/2005
Lecce,Souleymane Diamoutene,21.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,2004,2004/2005
Lecce,Sasa Bjelanovic,25.0,Centre-Forward,Italy,?,in,Summer,0.01,Serie A,2004,2004/2005
Lecce,Francesco Marianini,25.0,Central Midfield,Italy,?,in,Summer,0.01,Serie A,2004,2004/2005
Lecce,Alex Pinardi,23.0,Defensive Midfield,Atalanta BC,?,in,Summer,0.01,Serie A,2004,2004/2005
Lecce,Massimo Paci,26.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,2004,2004/2005
Lecce,Babù,23.0,Right Winger,Italy,?,in,Summer,0.01,Serie A,2004,2004/2005
Lecce,Luca Anania,24.0,Goalkeeper,Italy,?,in,Summer,0.01,Serie A,2004,2004/2005
Atalanta BC,Demetrio Albertini,32.0,Defensive Midfield,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
Atalanta BC,Santos,23.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,2004,2004/2005
Atalanta BC,Claudio Rivalta,26.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,2004,2004/2005
Juventus,Émerson,28.0,Defensive Midfield,AS Roma,28.00m,in,Summer,28,Serie A,2004,2004/2005
Juventus,Zlatan Ibrahimovic,22.0,Centre-Forward,Ajax,16.00m,in,Summer,16,Serie A,2004,2004/2005
Juventus,Matteo Brighi,23.0,Central Midfield,Parma,11.50m,in,Summer,"11,5",Serie A,2004,2004/2005
Juventus,Fabio Cannavaro,30.0,Centre-Back,Inter,10.00m,in,Summer,10,Serie A,2004,2004/2005
Juventus,Fabián Carini,24.0,Goalkeeper,Belgium,5.20m,in,Summer,"5,2",Serie A,2004,2004/2005
Juventus,Benjamin Onwuachi,20.0,Centre-Forward,Italy,420Th.,in,Summer,"0,42",Serie A,2004,2004/2005
Juventus,Olivier Kapo,23.0,Attacking Midfield,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
Juventus,Jonathan Zebina,25.0,Centre-Back,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
Juventus,Rey Volpato,17.0,Centre-Forward,Italy,?,in,Summer,0.01,Serie A,2004,2004/2005
Udinese Calcio,Antonio Di Natale,26.0,Centre-Forward,Italy,100Th.,in,Summer,"0,1",Serie A,2004,2004/2005
Udinese Calcio,Samir Handanovic,19.0,Goalkeeper,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
Udinese Calcio,Cribari,24.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,2004,2004/2005
Udinese Calcio,Manuel Belleri,27.0,Right-Back,Italy,?,in,Summer,0.01,Serie A,2004,2004/2005
Udinese Calcio,Stefano Mauri,24.0,Attacking Midfield,Italy,?,in,Summer,0.01,Serie A,2004,2004/2005
Udinese Calcio,José Devaca,21.0,Centre-Back,South America,?,in,Summer,0.01,Serie A,2004,2004/2005
Udinese Calcio,Claudio Vargas,18.0,Defensive Midfield,South America,?,in,Summer,0.01,Serie A,2004,2004/2005
Lazio,Goran Pandev,20.0,Second Striker,Inter,8.00m,in,Summer,8,Serie A,2004,2004/2005
Lazio,Anthony Seric,25.0,Left-Back,Italy,1.50m,in,Summer,"1,5",Serie A,2004,2004/2005
Lazio,Miguel Mea Vitali,23.0,Defensive Midfield,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
Lazio,Paolo Di Canio,36.0,Centre-Forward,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
Lazio,Matías Lequi,23.0,Centre-Back,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
Lazio,Tommaso Rocchi,26.0,Centre-Forward,Italy,?,in,Summer,0.01,Serie A,2004,2004/2005
Lazio,Braian Robert,20.0,Left Midfield,South America,?,in,Summer,0.01,Serie A,2004,2004/2005
Lazio,Esteban González,25.0,Defensive Midfield,South America,?,in,Summer,0.01,Serie A,2004,2004/2005
Lazio,Sebastiano Siviglia,31.0,Centre-Back,Parma,?,in,Summer,0.01,Serie A,2004,2004/2005
Lazio,Emanuele Filippini,31.0,Central Midfield,US Palermo,loan transfer,in,Summer,0.01,Serie A,2004,2004/2005
Lazio,Antonio Filippini,31.0,Right Midfield,US Palermo,loan transfer,in,Summer,0.01,Serie A,2004,2004/2005
Lazio,Leonardo Talamonti,22.0,Centre-Back,South America,loan transfer,in,Summer,0.01,Serie A,2004,2004/2005
Lazio,Óscar López,24.0,Right-Back,Barcelona,loan transfer,in,Summer,0.01,Serie A,2004,2004/2005
Parma,Massimo Maccarone,24.0,Centre-Forward,Middlesbrough,Loan fee:1.00m,in,Summer,1,Serie A,2004,2004/2005
Parma,Matteo Contini,24.0,Centre-Back,Italy,580Th.,in,Summer,"0,58",Serie A,2004,2004/2005
Parma,Alessandro Budel,23.0,Defensive Midfield,AC Milan,Loan fee:400Th.,in,Summer,"0,4",Serie A,2004,2004/2005
Parma,Cesare Bovo,21.0,Centre-Back,AS Roma,Loan fee:100Th.,in,Summer,"0,1",Serie A,2004,2004/2005
Parma,Gianluca Berti,37.0,Goalkeeper,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
Parma,Fábio Simplício,24.0,Central Midfield,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
Parma,Andrea Pisanu,22.0,Right Midfield,Italy,?,in,Summer,0.01,Serie A,2004,2004/2005
Parma,Damiano Ferronetti,19.0,Centre-Back,AS Roma,?,in,Summer,0.01,Serie A,2004,2004/2005
Parma,Vince Grella,24.0,Central Midfield,Italy,?,in,Summer,0.01,Serie A,2004,2004/2005
Parma,Mario Rebecchi,20.0,Central Midfield,Inter,?,in,Summer,0.01,Serie A,2004,2004/2005
Inter,Fabián Carini,24.0,Goalkeeper,Juventus,10.00m,in,Summer,10,Serie A,2004,2004/2005
Inter,Nicolás Burdisso,23.0,Centre-Back,South America,3.50m,in,Summer,"3,5",Serie A,2004,2004/2005
Inter,Lampros Choutos,24.0,Centre-Forward,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
Inter,Esteban Cambiasso,23.0,Defensive Midfield,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
Inter,Sinia Mihajlovic,35.0,Centre-Back,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
Inter,Zé Maria,30.0,Right-Back,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
Inter,Edgar Davids,31.0,Central Midfield,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
Inter,Giuseppe Favalli,32.0,Left-Back,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
Inter,Juan Sebastián Verón,29.0,Central Midfield,Chelsea,loan transfer,in,Summer,0.01,Serie A,2004,2004/2005
Inter,Ilario Aloe,17.0,Right Winger,Italy,?,in,Summer,0.01,Serie A,2004,2004/2005
AC Milan,Jaap Stam,31.0,Centre-Back,Lazio,10.50m,in,Summer,"10,5",Serie A,2004,2004/2005
AC Milan,Vikash Dhorasoo,30.0,Central Midfield,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
AC Milan,Giuseppe Pancaro,32.0,Right-Back,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
AC Milan,Sandro Bloudek,18.0,Attacking Midfield,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
AC Milan,Hernán Crespo,29.0,Centre-Forward,Chelsea,loan transfer,in,Summer,0.01,Serie A,2004,2004/2005
US Palermo,Simone Barone,26.0,Central Midfield,Parma,5.00m,in,Summer,5,Serie A,2004,2004/2005
US Palermo,Mariano González,23.0,midfield,South America,3.50m,in,Summer,"3,5",Serie A,2004,2004/2005
US Palermo,Andrea Barzagli,23.0,Centre-Back,Chievo Verona,1.50m,in,Summer,"1,5",Serie A,2004,2004/2005
US Palermo,Cristian Zaccardo,22.0,Centre-Back,Bologna,680Th.,in,Summer,"0,68",Serie A,2004,2004/2005
US Palermo,Daniele Fornaio,16.0,Central Midfield,Italy,?,in,Summer,0.01,Serie A,2004,2004/2005
US Palermo,Francesco Milano,20.0,attack,Isernia,?,in,Summer,0.01,Serie A,2004,2004/2005
US Palermo,Cristian Raimondi,23.0,Right Midfield,Italy,?,in,Summer,0.01,Serie A,2004,2004/2005
US Palermo,Adriano,22.0,Right-Back,South America,?,in,Summer,0.01,Serie A,2004,2004/2005
US Palermo,Matteo Guardalben,30.0,Goalkeeper,Italy,?,in,Summer,0.01,Serie A,2004,2004/2005
Messina Peloro,Rafael,24.0,Right-Back,South America,500Th.,in,Summer,"0,5",Serie A,2004,2004/2005
Messina Peloro,Dimitrios Eleftheropoulos,27.0,Goalkeeper,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
Messina Peloro,Ivica Iliev,24.0,Second Striker,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
Messina Peloro,Alessandro Cucciari,34.0,Defensive Midfield,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
Messina Peloro,Nicola Amoruso,30.0,Centre-Forward,free agents,free transfer,in,Summer,0,Serie A,2004,2004/2005
Messina Peloro,Raffaele Sorriso,16.0,Goalkeeper,Italy,?,in,Summer,0.01,Serie A,2004,2004/2005
Messina Peloro,Marco Zanchi,27.0,Centre-Back,Bologna,?,in,Summer,0.01,Serie A,2004,2004/2005
Messina Peloro,Mirko Conte,29.0,Centre-Back,Sampdoria,?,in,Summer,0.01,Serie A,2004,2004/2005
Messina Peloro,Atsushi Yanagisawa,27.0,Centre-Forward,Sampdoria,loan transfer,in,Summer,0.01,Serie A,2004,2004/2005
Messina Peloro,Massimo Donati,23.0,Defensive Midfield,AC Milan,loan transfer,in,Summer,0.01,Serie A,2004,2004/2005
Fiorentina,Tomas Ujfalusi,26.0,Centre-Back,Hamburger SV,7.50m,in,Summer,"7,5",Serie A,2004,2004/2005
Fiorentina,Fabrizio Miccoli,25.0,Centre-Forward,Juventus,7.00m,in,Summer,7,Serie A,2004,2004/2005
Fiorentina,Giorgio Chiellini,19.0,Centre-Back,AS Livorno,6.50m,in,Summer,"6,5",Serie A,2004,2004/2005
Fiorentina,Dario Dainelli,25.0,Centre-Back,Brescia,5.50m,in,Summer,"5,5",Serie A,2004,2004/2005
