club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Fiorentina,Ezequiel González,20.0,Attacking Midfield,South America,5.34m,in,Summer,"5,34",Serie A,2001,2001/2002
Fiorentina,Mario Cassano,17.0,Goalkeeper,Voghera,?,in,Summer,0.01,Serie A,2001,2001/2002
Fiorentina,Mirko Benin,23.0,Attacking Midfield,Italy,?,in,Summer,0.01,Serie A,2001,2001/2002
Fiorentina,Marco Franceschetti,34.0,midfield,Hellas Verona,?,in,Summer,0.01,Serie A,2001,2001/2002
Fiorentina,Roberto Baronio,23.0,Defensive Midfield,Lazio,loan transfer,in,Summer,0.01,Serie A,2001,2001/2002
Fiorentina,Alexander Manninger,24.0,Goalkeeper,Arsenal,loan transfer,in,Summer,0.01,Serie A,2001,2001/2002
Piacenza,Matuzalém,21.0,Defensive Midfield,Italy,3.10m,in,Summer,"3,1",Serie A,2001,2001/2002
Piacenza,Matteo Guardalben,27.0,Goalkeeper,AC Parma,780Th.,in,Summer,"0,78",Serie A,2001,2001/2002
Piacenza,Amauri,21.0,Centre-Forward,AC Parma,200Th.,in,Summer,"0,2",Serie A,2001,2001/2002
Piacenza,Dario Hübner,34.0,Centre-Forward,free agents,free transfer,in,Summer,0,Serie A,2001,2001/2002
Piacenza,Paolo Orlandoni,28.0,Goalkeeper,Italy,?,in,Summer,0.01,Serie A,2001,2001/2002
Piacenza,Nicola Mora,21.0,Left-Back,Torino,?,in,Summer,0.01,Serie A,2001,2001/2002
Piacenza,Eusebio Di Francesco,31.0,Central Midfield,AS Roma,?,in,Summer,0.01,Serie A,2001,2001/2002
Piacenza,Filippo Cristante,24.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,2001,2001/2002
Piacenza,Giuseppe Cardone,27.0,Right-Back,Italy,?,in,Summer,0.01,Serie A,2001,2001/2002
Piacenza,Paolo Poggi,30.0,Centre-Forward,AC Parma,loan transfer,in,Summer,0.01,Serie A,2001,2001/2002
Lecce,Javier Chevantón,20.0,Centre-Forward,South America,7.00m,in,Summer,7,Serie A,2001,2001/2002
Lecce,Bruno Cirillo,24.0,Centre-Back,Inter,3.40m,in,Summer,"3,4",Serie A,2001,2001/2002
Lecce,Djuric Winklaar,19.0,Left Midfield,Heerenveen,1.55m,in,Summer,"1,55",Serie A,2001,2001/2002
Lecce,Gheorghe Popescu,33.0,Centre-Back,Turkey,1.03m,in,Summer,"1,03",Serie A,2001,2001/2002
Lecce,Sebastjan Cimirotic,26.0,Centre-Forward,Central_EU,700Th.,in,Summer,"0,7",Serie A,2001,2001/2002
