club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Atalanta BC,Federico Magallanes,19.0,Centre-Forward,South America,4.00m,in,Summer,4,Serie A,1996,1996/1997
Atalanta BC,Filippo Inzaghi,22.0,Centre-Forward,AC Parma,90Th.,in,Summer,"0,09",Serie A,1996,1996/1997
Atalanta BC,Fabio Rustico,20.0,Right-Back,free agents,free transfer,in,Summer,0,Serie A,1996,1996/1997
Atalanta BC,Joakim Persson,21.0,Centre-Back,free agents,free transfer,in,Summer,0,Serie A,1996,1996/1997
Atalanta BC,Paolo Foglio,20.0,Right-Back,Italy,?,in,Summer,0.01,Serie A,1996,1996/1997
Atalanta BC,Emanuele Tresoldi,22.0,Left-Back,Italy,?,in,Summer,0.01,Serie A,1996,1996/1997
Atalanta BC,Gianluigi Lentini,27.0,Right Winger,Milan,?,in,Summer,0.01,Serie A,1996,1996/1997
Atalanta BC,Stefano Rossini,25.0,Left-Back,Piacenza,?,in,Summer,0.01,Serie A,1996,1996/1997
Atalanta BC,Davide Micillo,25.0,Goalkeeper,Italy,?,in,Summer,0.01,Serie A,1996,1996/1997
Atalanta BC,Zoran Mirkovic,24.0,Right-Back,Central_EU,?,in,Summer,0.01,Serie A,1996,1996/1997
Atalanta BC,Andrea Sottil,22.0,Centre-Back,Fiorentina,?,in,Summer,0.01,Serie A,1996,1996/1997
Atalanta BC,Massimo Carrera,32.0,Centre-Back,Juventus,?,in,Summer,0.01,Serie A,1996,1996/1997
SSC Napoli,Caio,20.0,Centre-Forward,Inter,5.00m,in,Summer,5,Serie A,1996,1996/1997
SSC Napoli,Beto,21.0,Attacking Midfield,free agents,free transfer,in,Summer,0,Serie A,1996,1996/1997
SSC Napoli,Nicola Caccia,26.0,Centre-Forward,Piacenza,loan transfer,in,Summer,0.01,Serie A,1996,1996/1997
SSC Napoli,Antonio Pietropaolo,19.0,Goalkeeper,Pozzuoli,?,in,Summer,0.01,Serie A,1996,1996/1997
SSC Napoli,Bertrand Crasson,24.0,Right-Back,Belgium,?,in,Summer,0.01,Serie A,1996,1996/1997
SSC Napoli,Francesco Turrini,30.0,Right Midfield,Piacenza,?,in,Summer,0.01,Serie A,1996,1996/1997
SSC Napoli,Antonio Amita,20.0,Defensive Midfield,Battipagliese,?,in,Summer,0.01,Serie A,1996,1996/1997
SSC Napoli,Luigi Morgante,18.0,Left-Back,Italy,?,in,Summer,0.01,Serie A,1996,1996/1997
SSC Napoli,Alfredo Aglietti,25.0,Centre-Forward,Italy,?,in,Summer,0.01,Serie A,1996,1996/1997
SSC Napoli,Luigi Panarelli,20.0,Right-Back,Italy,?,in,Summer,0.01,Serie A,1996,1996/1997
SSC Napoli,Mauro Milanese,24.0,Left-Back,Italy,?,in,Summer,0.01,Serie A,1996,1996/1997
SSC Napoli,Massimiliano Esposito,24.0,Right Midfield,Lazio,?,in,Summer,0.01,Serie A,1996,1996/1997
Reggiana,Dietmar Beiersdorfer,32.0,Centre-Back,1. FC Köln,350Th.,in,Summer,"0,35",Serie A,1996,1996/1997
Reggiana,Franz Carr,30.0,Right Winger,free agents,free transfer,in,Summer,0,Serie A,1996,1996/1997
Reggiana,Gabriele Grossi,24.0,Left-Back,AS Roma,?,in,Summer,0.01,Serie A,1996,1996/1997
Reggiana,Pietro Parente,24.0,midfield,Italy,?,in,Summer,0.01,Serie A,1996,1996/1997
Reggiana,Damiano Longhi,29.0,Right Winger,Italy,?,in,Summer,0.01,Serie A,1996,1996/1997
