club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Foggia,Massimiliano Cappellini,22.0,Centre-Forward,Milan,?,in,Summer,0.01,Serie A,1993,1993/1994
Foggia,José Chamot,24.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,1993,1993/1994
Foggia,Giovanni Stroppa,25.0,Attacking Midfield,Lazio,?,in,Summer,0.01,Serie A,1993,1993/1994
Foggia,Giovanni Bucaro,22.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,1993,1993/1994
SSC Napoli,Paolo Di Canio,24.0,Centre-Forward,Juventus,loan transfer,in,Summer,0.01,Serie A,1993,1993/1994
SSC Napoli,Eugenio Corini,22.0,Defensive Midfield,Sampdoria,?,in,Summer,0.01,Serie A,1993,1993/1994
SSC Napoli,Mario Massimo Caruso,23.0,Attacking Midfield,Italy,?,in,Summer,0.01,Serie A,1993,1993/1994
SSC Napoli,Roberto Bordin,28.0,Defensive Midfield,Atalanta,?,in,Summer,0.01,Serie A,1993,1993/1994
SSC Napoli,Raffaele Di Fusco,31.0,Goalkeeper,Torino,?,in,Summer,0.01,Serie A,1993,1993/1994
SSC Napoli,Giovanni Bia,24.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,1993,1993/1994
SSC Napoli,Renato Buso,23.0,Right Midfield,Sampdoria,?,in,Summer,0.01,Serie A,1993,1993/1994
SSC Napoli,Fabio Pecchia,19.0,Right Midfield,Italy,?,in,Summer,0.01,Serie A,1993,1993/1994
SSC Napoli,Enzo Gambaro,27.0,Left-Back,Milan,loan transfer,in,Summer,0.01,Serie A,1993,1993/1994
Reggiana,Stefano Daniel,24.0,midfield,Italy,?,in,Summer,0.01,Serie A,1993,1993/1994
Reggiana,Alessio Costagli,18.0,Goalkeeper,Cecina,?,in,Summer,0.01,Serie A,1993,1993/1994
Reggiana,Ettore Gandini,24.0,Goalkeeper,Italy,?,in,Summer,0.01,Serie A,1993,1993/1994
Reggiana,Tarcisio Catanese,25.0,midfield,Italy,?,in,Summer,0.01,Serie A,1993,1993/1994
Reggiana,Stefano Torrisi,22.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,1993,1993/1994
Reggiana,Christian Lantignotti,23.0,Attacking Midfield,Italy,?,in,Summer,0.01,Serie A,1993,1993/1994
