club_name,player_name,age,position,club_involved_name,fee,transfer_movement,transfer_period,fee_cleaned,league_name,year,season
Juventus,Filippo Inzaghi,23.0,Centre-Forward,Atalanta BC,10.30m,in,Summer,"10,3",Serie A,1997,1997/1998
Juventus,Fabio Pecchia,23.0,Right Midfield,Italy,5.16m,in,Summer,"5,16",Serie A,1997,1997/1998
Juventus,Daniel Fonseca,27.0,Centre-Forward,AS Roma,4.70m,in,Summer,"4,7",Serie A,1997,1997/1998
Juventus,Alessandro Birindelli,22.0,Right-Back,Empoli,2.80m,in,Summer,"2,8",Serie A,1997,1997/1998
Juventus,Marcelo Zalayeta,18.0,Centre-Forward,South America,2.58m,in,Summer,"2,58",Serie A,1997,1997/1998
Juventus,Morgan De Sanctis,20.0,Goalkeeper,Italy,750Th.,in,Summer,"0,75",Serie A,1997,1997/1998
Juventus,Marco Zamboni,19.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,1997,1997/1998
Juventus,Edoardo Braiati,17.0,Central Midfield,Italy,?,in,Summer,0.01,Serie A,1997,1997/1998
Juventus,Stefano Sorrentino,18.0,Goalkeeper,Italy,?,in,Summer,0.01,Serie A,1997,1997/1998
SSC Napoli,José Luis Calderón,26.0,Centre-Forward,South America,3.87m,in,Summer,"3,87",Serie A,1997,1997/1998
SSC Napoli,William Prunier,29.0,Centre-Back,Montpellier,?,in,Summer,0.01,Serie A,1997,1997/1998
SSC Napoli,Claudio Bellucci,22.0,Centre-Forward,Sampdoria,?,in,Summer,0.01,Serie A,1997,1997/1998
SSC Napoli,Raffaele Sergio,30.0,Left-Back,Italy,?,in,Summer,0.01,Serie A,1997,1997/1998
SSC Napoli,Mauro Facci,25.0,Left-Back,Italy,?,in,Summer,0.01,Serie A,1997,1997/1998
SSC Napoli,Igor Protti,29.0,Centre-Forward,Lazio,?,in,Summer,0.01,Serie A,1997,1997/1998
SSC Napoli,Massimiliano Allegri,29.0,Central Midfield,Italy,?,in,Summer,0.01,Serie A,1997,1997/1998
SSC Napoli,Marco Zamboni,19.0,Centre-Back,Juventus,?,in,Summer,0.01,Serie A,1997,1997/1998
SSC Napoli,Giuseppe Giannini,32.0,Attacking Midfield,Central_EU,?,in,Summer,0.01,Serie A,1997,1997/1998
SSC Napoli,Aljosa Asanovic,31.0,Central Midfield,Derby,?,in,Summer,0.01,Serie A,1997,1997/1998
SSC Napoli,Roberto Goretti,21.0,Defensive Midfield,Italy,?,in,Summer,0.01,Serie A,1997,1997/1998
SSC Napoli,Fabio Rossitto,25.0,Right Midfield,Italy,?,in,Summer,0.01,Serie A,1997,1997/1998
SSC Napoli,Reynald Pedros,25.0,Left Midfield,AC Parma,loan transfer,in,Summer,0.01,Serie A,1997,1997/1998
Vicenza,Francesco Coco,20.0,Left-Back,Milan,Loan fee:750Th.,in,Summer,"0,75",Serie A,1997,1997/1998
Vicenza,Marco Schenardi,29.0,Right Midfield,Bologna,?,in,Summer,0.01,Serie A,1997,1997/1998
Vicenza,Pasquale Luiso,27.0,Centre-Forward,Piacenza,?,in,Summer,0.01,Serie A,1997,1997/1998
Vicenza,Lamberto Zauli,25.0,Attacking Midfield,Italy,?,in,Summer,0.01,Serie A,1997,1997/1998
Vicenza,Arturo Di Napoli,23.0,Centre-Forward,Inter,?,in,Summer,0.01,Serie A,1997,1997/1998
Vicenza,Giacomo Dicara,27.0,Centre-Back,Italy,?,in,Summer,0.01,Serie A,1997,1997/1998
Vicenza,Lorenzo Stovini,20.0,Centre-Back,AS Roma,?,in,Summer,0.01,Serie A,1997,1997/1998
Vicenza,Roberto Baronio,19.0,Defensive Midfield,Lazio,loan transfer,in,Summer,0.01,Serie A,1997,1997/1998
Vicenza,Massimo Ambrosini,20.0,Central Midfield,Milan,loan transfer,in,Summer,0.01,Serie A,1997,1997/1998
Vicenza,Riccardo Maspero,26.0,Attacking Midfield,Lecce,loan transfer,in,Summer,0.01,Serie A,1997,1997/1998
